dateTime;next_dateTime;arr_volume_group;dep_volume_group;volume_group;metarKey;noPhenDetected;recent;intensity;characteristic;phenomenon1;phenomenon2;phenomenon3
2019-07-28 15:30:00.000;2019-07-28 16:00:00.000;MEDIA;MEDIA;MEDIA;4781020;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-28 16:30:00.000;2019-07-28 17:00:00.000;ALTA;MEDIA;MEDIA;4781022;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-28 20:00:00.000;2019-07-28 20:30:00.000;ALTA;MEDIA;ALTA;4781029;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-28 21:00:00.000;2019-07-28 21:30:00.000;MEDIA;MEDIA;MEDIA;4781031;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-28 23:30:00.000;2019-07-29 00:00:00.000;BAJA;BAJA;BAJA;4781036;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-29 00:30:00.000;2019-07-29 01:00:00.000;BAJA;BAJA;BAJA;4783526;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-29 01:30:00.000;2019-07-29 02:00:00.000;BAJA;BAJA;BAJA;4783528;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-29 02:30:00.000;2019-07-29 03:00:00.000;MEDIA;BAJA;BAJA;4783530;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-29 05:00:00.000;2019-07-29 05:30:00.000;MEDIA;ALTA;MEDIA;4783535;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-29 06:00:00.000;2019-07-29 06:30:00.000;MEDIA;MEDIA;MEDIA;4783537;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-29 09:30:00.000;2019-07-29 10:00:00.000;MEDIA;ALTA;ALTA;4783544;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-29 10:30:00.000;2019-07-29 11:00:00.000;MEDIA;ALTA;ALTA;4783546;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-29 13:00:00.000;2019-07-29 13:30:00.000;ALTA;ALTA;ALTA;4783551;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-29 14:00:00.000;2019-07-29 14:30:00.000;MEDIA;ALTA;ALTA;4783553;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-29 15:00:00.000;2019-07-29 15:30:00.000;MEDIA;ALTA;ALTA;4783555;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-29 17:30:00.000;2019-07-29 18:00:00.000;MEDIA;MEDIA;MEDIA;4783560;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-29 18:30:00.000;2019-07-29 19:00:00.000;ALTA;MEDIA;MEDIA;4783562;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-29 22:00:00.000;2019-07-29 22:30:00.000;MEDIA;MEDIA;MEDIA;4783569;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-29 23:00:00.000;2019-07-29 23:30:00.000;BAJA;BAJA;BAJA;4783571;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-30 01:30:00.000;2019-07-30 02:00:00.000;BAJA;BAJA;BAJA;4786059;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-30 02:30:00.000;2019-07-30 03:00:00.000;MEDIA;BAJA;BAJA;4786061;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-30 06:00:00.000;2019-07-30 06:30:00.000;MEDIA;MEDIA;MEDIA;4786068;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-30 07:00:00.000;2019-07-30 07:30:00.000;MEDIA;ALTA;ALTA;4786070;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-30 09:30:00.000;2019-07-30 10:00:00.000;MEDIA;ALTA;ALTA;4786075;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-30 10:30:00.000;2019-07-30 11:00:00.000;MEDIA;ALTA;ALTA;4786077;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-30 14:00:00.000;2019-07-30 14:30:00.000;MEDIA;ALTA;MEDIA;4786084;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-30 15:00:00.000;2019-07-30 15:30:00.000;MEDIA;ALTA;ALTA;4786086;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-30 18:30:00.000;2019-07-30 19:00:00.000;ALTA;MEDIA;ALTA;4786093;0;0;NULL;NULL;NULL;NULL;NULL
2019-07-30 19:30:00.000;2019-07-30 20:00:00.000;ALTA;MEDIA;ALTA;4786095;0;0;NULL;NULL;NULL;NULL;NULL
