metric;n_neighbors;p;weights;Rank;Fit Time;Score Time;RMSE;R2;EV;MSLE;MPD
minkowski;40;2;distance;1;0,060082530975341795;1,1421458721160889;-1,8010262559952497;0,05494300667377459;0,0611998316821275;-0,057355762911028466;-0,49656019023756875
minkowski;40;2;uniform;2;0,05487990379333496;0,9615822792053222;-1,803270418503768;0,0526105029610479;0,05902238065308647;-0,05752993102148222;-0,49787099101838683
minkowski;30;2;distance;3;0,059366035461425784;1,042872428894043;-1,8057468643186652;0,049950440452422404;0,055992034762119156;-0,057659608490780875;-0,4993623897407728
minkowski;30;2;uniform;4;0,054793930053710936;0,9399436950683594;-1,807488018089145;0,048138647565351536;0,0543056764012652;-0,05779885918910983;-0,5003988365544714
minkowski;20;2;distance;5;0,05048956871032715;0,702272605895996;-1,8167717363352467;0,038247498288344194;0,04405353678646433;-0,058383099461311774;-0,5058090756960599
minkowski;20;2;uniform;6;0,05889406204223633;0,8930195808410645;-1,8178455920622434;0,03712937946896735;0,04303633670604601;-0,05847390881101726;-0,5064710484018285
minkowski;10;2;uniform;7;0,06132164001464844;0,7027212619781494;-1,854485181053213;-0,002164552932796249;0,0034580571792779844;-0,06098331759670376;-0,5278636580024969
minkowski;10;2;distance;8;0,07500905990600586;0,7041304111480713;-1,8548134668807266;-0,0025319214650716846;0,0030116894745687572;-0,06098092716589885;-0,5279855530093815
