metric;n_neighbors;p;weights;Rank;Fit Time;Score Time;RMSE;R2;EV;MSLE;MPD
minkowski;40;2;distance;1;0,01839585304260254;10,019912338256836;-1,8175963696606137;0,03736020348937956;0,04303454581343178;-0,05861406079143279;-0,5072295580847948
minkowski;40;2;uniform;2;0,01475062370300293;9,300971841812133;-1,8181772329534653;0,036758911142994545;0,04238818686796701;-0,05865219719064656;-0,5075209682743298
minkowski;30;2;distance;3;0,012887859344482422;10,067421293258667;-1,8234679980575663;0,031100722912739777;0,03684445605018303;-0,05904567913024865;-0,5108672227723495
minkowski;30;2;uniform;4;0,014609766006469727;11,246695280075073;-1,8234884650594747;0,03109496064897308;0,03678554777139007;-0,059046709674314225;-0,5108378077505943
minkowski;20;2;uniform;5;0,017578840255737305;10,423100471496582;-1,8372015775745887;0,01641979060151295;0,022384725811916417;-0,06003208982866319;-0,5191718309269543
minkowski;20;2;distance;6;0,016619205474853516;10,599914789199829;-1,8378204101911664;0,01573867031515297;0,021742038856871558;-0,060073440123708535;-0,5195739390290868
minkowski;10;2;uniform;7;0,015986919403076172;10,633757925033569;-1,8796526934181101;-0,029668816867903125;-0,02343547652864437;-0,06309626820244209;-0,5451310893687518
minkowski;10;2;distance;8;0,01799631118774414;10,9090895652771;-1,8813561644990557;-0,031537998672245535;-0,02524517090128888;-0,06319923935733995;-0,5460754468680359
