metric;n_neighbors;p;weights;Rank;Fit Time;Score Time;RMSE;R2;EV;MSLE;MPD
minkowski;40;2;distance;1;0,021593379974365234;0,3636528491973877;-2,53370336611543;0,029708815768654896;0,03208103816027945;-0,08919510696836405;-0,8543214262283854
minkowski;40;2;uniform;2;0,01960129737854004;0,29982619285583495;-2,533994002477997;0,029488853535907023;0,03191303654766793;-0,08931524393454808;-0,8547016142086653
minkowski;30;2;uniform;3;0,021324586868286134;0,3388385772705078;-2,541476979844873;0,023776559111097485;0,026283025338806488;-0,08977177491608396;-0,8599132798889553
minkowski;30;2;distance;4;0,01972222328186035;0,3086132526397705;-2,5420382852566;0,023325240378234424;0,025760838041875456;-0,08971090547350762;-0,8600823019528286
minkowski;20;2;uniform;5;0,020275974273681642;0,2613649845123291;-2,560771032446828;0,008636699326265807;0,010936685478441843;-0,09102321676009183;-0,8733886777173844
minkowski;20;2;distance;6;0,021604108810424804;0,28962011337280275;-2,562698841139203;0,007135737993868019;0,00939520849879183;-0,09107562821365389;-0,8744809329002837
minkowski;10;2;uniform;7;0,02153172492980957;0,2365020751953125;-2,6243900258960076;-0,04144778916602876;-0,03943976614351126;-0,09565331914874217;-0,9192821801518545
minkowski;10;2;distance;8;0,043602943420410156;0,25560617446899414;-2,6277065789231058;-0,0441210556475923;-0,042122031890592826;-0,09581062333338701;-0,9213076716644293
