bootstrap;criterion;max_depth;max_features;max_leaf_nodes;min_samples_leaf;min_samples_split;n_estimators;Rank;Fit Time;Score Time;RMSE;R2;EV;MSLE;MPD
True;mse;10,0;0,5;;10;10;200;1;4,155799865722656;0,06300444602966308;-2,419877141893566;0,11450855554446919;0,11493695987834678;-0,07768581632305752;-0,7701305685481123
True;mse;10,0;0,5;;10;15;200;1;4,154699659347534;0,06308722496032715;-2,419877141893566;0,11450855554446919;0,11493695987834678;-0,07768581632305752;-0,7701305685481123
True;mse;10,0;0,5;;10;10;150;3;3,1212368965148927;0,048889780044555665;-2,4199131781773353;0,11448853846838078;0,11489892177489311;-0,07770186569881266;-0,7701705260071258
True;mse;10,0;0,5;;10;15;150;3;3,1158379554748534;0,04915533065795898;-2,4199131781773353;0,11448853846838078;0,11489892177489311;-0,07770186569881266;-0,7701705260071258
True;mse;10,0;0,5;;10;10;100;5;1,7525876998901366;0,02964649200439453;-2,421110416516003;0,11360439288665047;0,1140621961824088;-0,07780433436126245;-0,7710555763996705
True;mse;10,0;0,5;;10;15;100;5;1,7565189361572267;0,029696893692016602;-2,421110416516003;0,11360439288665047;0,1140621961824088;-0,07780433436126245;-0,7710555763996705
True;mse;12,0;0,5;;10;15;200;7;4,177857685089111;0,06449131965637207;-2,423161081125065;0,11207871118587134;0,11277163286674748;-0,07798668155635703;-0,7725137082131243
True;mse;12,0;0,5;;10;10;200;7;4,739527845382691;0,07388167381286621;-2,423161081125065;0,11207871118587134;0,11277163286674748;-0,07798668155635703;-0,7725137082131243
True;mse;10,0;0,5;;5;15;200;9;4,2201478481292725;0,06302018165588379;-2,423216603828869;0,1121578533501213;0,11282993504072514;-0,07807421740053196;-0,7724141191621563
True;mse;10,0;0,5;;5;15;100;10;1,779695701599121;0,029589748382568358;-2,423243891709594;0,11213719507069708;0,11270995956803483;-0,07805382824701602;-0,7724269032655401
True;mse;10,0;0,5;;5;10;200;11;4,24297604560852;0,06377959251403809;-2,4233662775841625;0,11204406969467166;0,11265952077171888;-0,07805375502498411;-0,7725553393716087
True;mse;10,0;0,5;;5;15;150;12;3,164184093475342;0,048614788055419925;-2,423476341535931;0,1119906732073184;0,1126617905371726;-0,07809595086095326;-0,7725250659080355
True;mse;10,0;0,5;;5;10;150;13;3,1793227195739746;0,0485593318939209;-2,423605174716417;0,11188720659016482;0,11261052627904009;-0,07812004442841688;-0,7727320249691678
True;mse;12,0;0,5;;10;15;150;14;3,597686004638672;0,05563507080078125;-2,4238393044402935;0,11157817945241293;0,11229988371326678;-0,07806228641761927;-0,772978930630836
True;mse;12,0;0,5;;10;10;150;14;3,5693592071533202;0,05569477081298828;-2,4238393044402935;0,11157817945241293;0,11229988371326678;-0,07806228641761927;-0,772978930630836
