bootstrap;criterion;max_depth;max_features;max_leaf_nodes;min_samples_leaf;min_samples_split;n_estimators;Rank;Fit Time;Score Time;RMSE;R2;EV;MSLE;MPD
True;mse;12,0;0,5;;5;10;200;1;25,485872077941895;0,14876089096069336;-1,7635737118853307;0,09391314422396724;0,09998956724414303;-0,054085064093482495;-0,4737086349683047
True;mse;;0,5;;10;10;200;2;34,52985224723816;0,23009123802185058;-1,7636016105792358;0,09376762014580028;0,09990672584863873;-0,05413178743789356;-0,47371024547187296
True;mse;;0,5;;10;15;200;2;34,53812236785889;0,23028287887573243;-1,7636016105792358;0,09376762014580028;0,09990672584863873;-0,05413178743789356;-0,47371024547187296
True;mse;12,0;0,5;;10;15;200;4;23,956518173217773;0,1383458137512207;-1,7637337476240158;0,09375327178235641;0,0998230294041739;-0,05405181944412368;-0,4737716258249887
True;mse;12,0;0,5;;10;10;200;4;27,131846475601197;0,15396976470947266;-1,7637337476240158;0,09375327178235641;0,0998230294041739;-0,05405181944412368;-0,4737716258249887
True;mse;12,0;0,5;;5;15;200;6;25,40690779685974;0,14722318649291993;-1,7637540494462989;0,09372639215734886;0,09978056804123141;-0,05411467408829971;-0,4738302952651912
True;mse;12,0;0,5;;10;10;150;7;20,351524209976198;0,11619505882263184;-1,7638342129268358;0,09364921845948777;0,09971540901526026;-0,05406133866420817;-0,47382620104464346
True;mse;12,0;0,5;;10;15;150;7;20,360335731506346;0,116298246383667;-1,7638342129268358;0,09364921845948777;0,09971540901526026;-0,05406133866420817;-0,47382620104464346
True;mse;12,0;0,5;;5;10;150;9;20,69422550201416;0,11780214309692383;-1,76398609139082;0,09348595908142758;0,09960110754663712;-0,05411657364101816;-0,4739531710299779
True;mse;12,0;0,5;;5;15;150;10;20,62374873161316;0,116664457321167;-1,7640298587026002;0,09344153876590806;0,09954479813914226;-0,05413911675248838;-0,47401306870627485
True;mse;12,0;0,5;;10;15;100;11;11,49720115661621;0,07151150703430176;-1,7640944295091028;0,09338531954832115;0,09938084551165742;-0,054077288786791036;-0,4739679661121706
True;mse;12,0;0,5;;10;10;100;11;13,552082681655884;0,07887458801269531;-1,7640944295091028;0,09338531954832115;0,09938084551165742;-0,054077288786791036;-0,4739679661121706
True;mse;;0,5;;10;15;150;13;25,936781787872313;0,17364368438720704;-1,7641308615324873;0,09322303118380555;0,09940160670875502;-0,054165480749747794;-0,4740173900981686
True;mse;;0,5;;10;10;150;13;25,943505144119264;0,17421317100524902;-1,7641308615324873;0,09322303118380555;0,09940160670875502;-0,054165480749747794;-0,4740173900981686
True;mse;12,0;0,5;;5;10;100;15;12,734509086608886;0,07605257034301757;-1,764293289045075;0,09317354834234233;0,09923820916826616;-0,05413892848417638;-0,4741146474256782
True;mse;12,0;0,5;;5;15;100;16;13,727780103683472;0,07888278961181641;-1,7643325185183851;0,0931313336501258;0,09910587437799097;-0,05415738265133232;-0,47418570115532477
True;mse;;0,5;;10;15;100;17;14,60925817489624;0,10670695304870606;-1,7651375752028933;0,09219247342556755;0,09828159305499555;-0,05423458160483363;-0,47458295829374436
True;mse;;0,5;;10;10;100;17;14,59026641845703;0,10675287246704102;-1,7651375752028933;0,09219247342556755;0,09828159305499555;-0,05423458160483363;-0,47458295829374436
True;mse;;0,5;;5;15;200;19;37,47649936676025;0,258958101272583;-1,7652531013191193;0,09204613057007974;0,09872554629116714;-0,05437423905775868;-0,474673152349244
True;mse;10,0;0,5;;10;15;200;20;23,93558874130249;0,1265286922454834;-1,7662895141480148;0,09114491084617556;0,09739518317999032;-0,05424055554749685;-0,47526603159205016
True;mse;10,0;0,5;;10;10;200;20;23,93394660949707;0,12655444145202638;-1,7662895141480148;0,09114491084617556;0,09739518317999032;-0,05424055554749685;-0,47526603159205016
True;mse;;0,5;;5;15;150;22;28,153130435943602;0,19565048217773437;-1,766394423276682;0,09087997281235553;0,09758914590817151;-0,05445305557235867;-0,47531444062250144
True;mse;10,0;0,5;;10;10;150;23;17,942885828018188;0,09571948051452636;-1,7664360002691026;0,09099443529836418;0,09728462726364376;-0,05425278640229745;-0,47536030442013344
True;mse;10,0;0,5;;10;15;150;23;17,94465503692627;0,09583826065063476;-1,7664360002691026;0,09099443529836418;0,09728462726364376;-0,05425278640229745;-0,47536030442013344
True;mse;;0,5;;5;10;200;25;36,213915729522704;0,27648043632507324;-1,766626534865243;0,0906506947793734;0,0972037469975783;-0,054484207278055405;-0,4754133723644408
True;mse;10,0;0,5;;10;15;100;26;10,160640716552734;0,058569908142089844;-1,7666900154397251;0,09073239008269882;0,09701501780508917;-0,05427062715160939;-0,47550721285778286
True;mse;10,0;0,5;;10;10;100;26;10,564600419998168;0,06193184852600098;-1,7666900154397251;0,09073239008269882;0,09701501780508917;-0,05427062715160939;-0,47550721285778286
True;mse;10,0;0,5;;5;10;200;28;22,688361406326294;0,12596611976623534;-1,7667281405792092;0,09070482778607769;0,09689427809564104;-0,05430255082437443;-0,4755397350509938
True;mse;10,0;0,5;;5;10;100;29;10,222217178344726;0,058348226547241214;-1,767007260822264;0,09041775193674355;0,0966034125560162;-0,05431445754482559;-0,4756806251383848
True;mse;10,0;0,5;;5;10;150;30;18,050253534317015;0,09078173637390137;-1,7670561395418347;0,09036947532334745;0,09653201435533902;-0,05432132753684236;-0,47573068084185943
True;mse;10,0;0,5;;5;15;200;31;23,68523988723755;0,11930556297302246;-1,7671077854537676;0,09031490314084627;0,09647971605390486;-0,05432198866538124;-0,475737375236385
