C;gamma;kernel;Rank;Fit Time;Score Time;RMSE;R2;EV;MSLE;MPD
1,0;0,001;rbf;1;76,12408113479614;34,10075879096985;-1,8415678141369751;0,013659760641710816;0,05768836887257056;-0,05682146288018841;-0,5225186346134341
10,0;0,001;rbf;2;76,66990558306377;34,106563011805214;-1,8422195225924478;0,01292036741889746;0,05553715284020988;-0,05691614742209248;-0,5232746942157992
0,1;0,01;rbf;3;75,74949947992961;34,27847401301066;-1,84258327044277;0,012559569162389095;0,05615279850704791;-0,05688191394665173;-0,5230673602505403
0,1;0,001;rbf;4;75,99054098129272;34,18186076482137;-1,842666996795682;0,012520845864392135;0,05651260573114832;-0,05687653379892762;-0,5223560373721067
0,01;0,01;rbf;5;75,88538074493408;34,30289657910665;-1,8446174274181362;0,010436958148913286;0,0543396568621638;-0,057024872046856794;-0,5233293084139854
1,0;0,01;rbf;6;76,32854541142781;34,23840697606405;-1,8448021859110517;0,010113412224658483;0,05193601404606096;-0,05721112767275388;-0,5251566085125822
0,1;0,1;rbf;7;74,68442885080974;34,37420233090719;-1,8464746684071853;0,008312005366429323;0,05219452407121498;-0,057533476303614134;-0,5263293277299385
1,0;0,1;rbf;8;82,81418935457866;34,20138653119405;-1,8467770539538277;0,00802861234597004;0,05041448775527243;-0,058115542277687705;-0,5289587759684206
10,0;0,01;rbf;9;83,50441408157349;34,29478796323141;-1,848263916819963;0,006381250401395366;0,04567020777206902;-0,057937183008255046;-0,5286466717321735
0,01;0,1;rbf;10;74,78635319073994;34,45173994700114;-1,8504497543554628;0,004157507379780563;0,04784788259175562;-0,05760739183412608;-0,5271750825723268
0,1;1,0;rbf;11;78,71148141225179;34,419710556666054;-1,8651554194202502;-0,011518924044251477;0,03377839420618245;-0,05895964797678805;-0,536719317705543
0,01;0,001;rbf;12;76,92041889826457;34,58132251103719;-1,867695207067454;-0,01454435058511705;0,029510249093205616;-0,05912297452428774;-0,5377538563319936
1,0;1,0;rbf;13;187,78581190109253;34,288588762283325;-1,8696372601613316;-0,01617853422801589;0,021989291694898532;-0,05981692366384742;-0,5413429727930078
10,0;0,1;rbf;14;256,9288109143575;34,341743071873985;-1,87670029738095;-0,024111223091415297;0,01311339884146597;-0,06131451287422865;-0,5523793016784242
0,01;1,0;rbf;15;76,51049518585205;34,54874459902445;-1,8823360508994187;-0,030407855194365913;0,012276540616372253;-0,060519980497175885;-0,5474496987349062
10,0;1,0;rbf;16;952,0765364170074;33,99286715189616;-1,9980370096398978;-0,16028560027629477;-0,14528382699551354;-0,07192841868585258;-0,6259860838406904
